Epsiode Cummulative Reward: 1133.3955001235008, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2213.059671342373, Episode Timestpes: 4065,
Epsiode Cummulative Reward: 973.0410034656525, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1664.832051217556, Episode Timestpes: 4396,
Epsiode Cummulative Reward: 1904.1044539809227, Episode Timestpes: 1789,
Epsiode Cummulative Reward: 1684.1417735815048, Episode Timestpes: 4149,
Epsiode Cummulative Reward: 1674.9066970348358, Episode Timestpes: 990,
Epsiode Cummulative Reward: 2788.9925048947334, Episode Timestpes: 1711,
Epsiode Cummulative Reward: 2203.824600279331, Episode Timestpes: 1621,
Epsiode Cummulative Reward: 2191.231323301792, Episode Timestpes: 1152,
Epsiode Cummulative Reward: 2798.227561414242, Episode Timestpes: 3617,
Epsiode Cummulative Reward: 898.3208671212196, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1684.9813154935837, Episode Timestpes: 2707,
Epsiode Cummulative Reward: 2763.805939555168, Episode Timestpes: 2322,
Epsiode Cummulative Reward: -4.26173210144043e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 538.1529732346535, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.3947486877441406e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.384185791015625e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -5.960464477539063e-08, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.1920928955078125e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.3245811462402344e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 219.10269510746002, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.876877784729004, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.3974647521972656e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.993511199951172e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.710653305053711e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 381.15673595666885, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 96.5394948720932, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2219.569040775299, Episode Timestpes: 2664,
Epsiode Cummulative Reward: 693.470142185688, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2778.078344464302, Episode Timestpes: 2933,
Epsiode Cummulative Reward: 471.82833993434906, Episode Timestpes: 2846,
Epsiode Cummulative Reward: 2235.7275930047035, Episode Timestpes: 4416,
Epsiode Cummulative Reward: 2765.485064268112, Episode Timestpes: 3002,
Epsiode Cummulative Reward: 694.309696495533, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 734.6082148551941, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 9.238719940185547e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.5762786865234375e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.245208740234375e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.1801719665527344e-05, Episode Timestpes: 4500,
