Epsiode Cummulative Reward: 350.93283247947693, Episode Timestpes: 688,
Epsiode Cummulative Reward: 691.7910306453705, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 705.2238757014275, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 60.447758197784424, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 362.6865625977516, Episode Timestpes: 2257,
Epsiode Cummulative Reward: 1655.5970087647438, Episode Timestpes: 4302,
Epsiode Cummulative Reward: 826.1193923950195, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.245208740234375e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 778.2649146318436, Episode Timestpes: 254,
Epsiode Cummulative Reward: 2223.1343156695366, Episode Timestpes: 1504,
Epsiode Cummulative Reward: 866.3370605111122, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 737.9663996100426, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 691.7910379171371, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 296.3342823982239, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 700.1212171316147, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 655.6902772784233, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 143.56342959403992, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 72.20149439573288, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -5.662441253662109e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.1159648895263672e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.0728836059570312e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.0132789611816406e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.198883056640625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.1457672119140625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -7.152557373046875e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -5.960464477539063e-08, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.1324882507324219e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2670.615658402443, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1619.3451847434044, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 357.6492483019829, Episode Timestpes: 435,
Epsiode Cummulative Reward: 1171.1753500699997, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 335.82088971138, Episode Timestpes: 603,
Epsiode Cummulative Reward: 1211.4738577008247, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2121.5484811663628, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1138.4328176379204, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1119.9626517891884, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 761.4738621115685, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 748.0410243272781, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 590.2052128911018, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 663.2462483048439, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 577.6119330525398, Episode Timestpes: 2515,
Epsiode Cummulative Reward: 78.91790962219238, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 92.35074424743652, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 130.97014325857162, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 130.97014999389648, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 576.7723783254623, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 652.3320762515068, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 345.8955172300339, Episode Timestpes: 333,
Epsiode Cummulative Reward: 1199.7201340794563, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1694.8978521227837, Episode Timestpes: 4285,
Epsiode Cummulative Reward: 2224.8134305477142, Episode Timestpes: 2186,
Epsiode Cummulative Reward: 2123.2275837659836, Episode Timestpes: 2968,
Epsiode Cummulative Reward: 2768.8432565927505, Episode Timestpes: 2878,
Epsiode Cummulative Reward: 2792.350711941719, Episode Timestpes: 3401,
Epsiode Cummulative Reward: 1696.7350478768349, Episode Timestpes: 1256,
Epsiode Cummulative Reward: 1693.3768468499184, Episode Timestpes: 769,
Epsiode Cummulative Reward: 1688.339536190033, Episode Timestpes: 1083,
Epsiode Cummulative Reward: 2236.567136287689, Episode Timestpes: 959,
Epsiode Cummulative Reward: 2159.3283296227455, Episode Timestpes: 1951,
Epsiode Cummulative Reward: 2230.690274298191, Episode Timestpes: 2528,
Epsiode Cummulative Reward: 1643.8432667255402, Episode Timestpes: 706,
Epsiode Cummulative Reward: 2774.720119059086, Episode Timestpes: 1575,
Epsiode Cummulative Reward: 1695.8955010175705, Episode Timestpes: 720,
Epsiode Cummulative Reward: 2225.4453647732735, Episode Timestpes: 1360,
Epsiode Cummulative Reward: 3016.5111396312714, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3023.2275573015213, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2225.652954995632, Episode Timestpes: 1181,
Epsiode Cummulative Reward: 2137.4999809265137, Episode Timestpes: 1595,
