Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 779.1044683456421, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 72.20145308971405, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 612.8159964084625, Episode Timestpes: 2780,
Epsiode Cummulative Reward: 626.3059692978859, Episode Timestpes: 211,
Epsiode Cummulative Reward: 618.7499990463257, Episode Timestpes: 209,
Epsiode Cummulative Reward: 628.8246256709099, Episode Timestpes: 211,
Epsiode Cummulative Reward: 540.6716428399086, Episode Timestpes: 252,
Epsiode Cummulative Reward: 598.6007531285286, Episode Timestpes: 862,
Epsiode Cummulative Reward: 622.1082081198692, Episode Timestpes: 213,
Epsiode Cummulative Reward: 634.7014914751053, Episode Timestpes: 213,
Epsiode Cummulative Reward: 586.8470178246498, Episode Timestpes: 374,
Epsiode Cummulative Reward: 543.1903027892113, Episode Timestpes: 416,
Epsiode Cummulative Reward: 615.3917896151543, Episode Timestpes: 213,
Epsiode Cummulative Reward: 621.2686550617218, Episode Timestpes: 211,
Epsiode Cummulative Reward: 607.8358200788498, Episode Timestpes: 211,
Epsiode Cummulative Reward: 914.2723821997643, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 605.31718146801, Episode Timestpes: 4500,
